Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testCLoud,Chrome 107.0.0.0,,,2022-11-29 19:22:54,2022-11-29 19:31:44,"8m - 49,777s",PASSED
,,,,,,,
Test Cases/Navegador/Navegador,Chrome 107.0.0.0,,,2022-11-29 19:22:54,2022-11-29 19:23:10,"16,161s",PASSED
"openBrowser(""https://demoqa.com/text-box"")",Chrome 107.0.0.0,,,2022-11-29 19:22:55,2022-11-29 19:23:09,"14,203s",PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-29 19:23:09,2022-11-29 19:23:09,"0,204s",PASSED
page_url = getUrl(),Chrome 107.0.0.0,,,2022-11-29 19:23:09,2022-11-29 19:23:09,"0,093s",PASSED
print(page_url),Chrome 107.0.0.0,,,2022-11-29 19:23:09,2022-11-29 19:23:09,"0,009s",PASSED
Titulo = getWindowTitle(),Chrome 107.0.0.0,,,2022-11-29 19:23:09,2022-11-29 19:23:10,"0,167s",PASSED
"print(""titiulo de la pagina"" + Titulo)",Chrome 107.0.0.0,,,2022-11-29 19:23:10,2022-11-29 19:23:10,"0,001s",PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-29 19:23:10,2022-11-29 19:23:10,"0,750s",PASSED
,,,,,,,
Test Cases/Objecto_xpath/Caso_xpath,Chrome 107.0.0.0,,,2022-11-29 19:23:10,2022-11-29 19:23:27,"16,353s",PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-11-29 19:23:11,2022-11-29 19:23:12,"1,472s",PASSED
"navigateToUrl(""https://demoqa.com/text-box"")",Chrome 107.0.0.0,,,2022-11-29 19:23:12,2022-11-29 19:23:22,"9,221s",PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-29 19:23:22,2022-11-29 19:23:22,"0,175s",PASSED
"setText(findTestObject(""Objeto_xpath/Campo_nombre""), ""Ljubo"")",Chrome 107.0.0.0,,,2022-11-29 19:23:22,2022-11-29 19:23:23,"1,084s",PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-29 19:23:23,2022-11-29 19:23:26,"3,074s",PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-29 19:23:26,2022-11-29 19:23:27,"0,768s",PASSED
,,,,,,,
Test Cases/Condicionales_If/Condicionar_titulo,Chrome 107.0.0.0,,,2022-11-29 19:23:27,2022-11-29 19:23:56,"29,603s",PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-11-29 19:23:27,2022-11-29 19:23:29,"1,508s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 107.0.0.0,,,2022-11-29 19:23:29,2022-11-29 19:23:39,"10,275s",PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-29 19:23:39,2022-11-29 19:23:39,"0,144s",PASSED
