Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
apitest,,,,2022-11-30 15:58:00,2022-11-30 16:04:40,"6m - 39,610s",PASSED
,,,,,,,
Test Cases/API_TEST1/AddUser,,,,2022-11-30 15:58:16,2022-11-30 16:00:47,"2m - 31,061s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/AddUser""))",,,,2022-11-30 15:58:44,2022-11-30 16:00:46,"2m - 1,373s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 16:00:46,2022-11-30 16:00:46,"0,777s",PASSED
print(Response.getResponseText()),,,,2022-11-30 16:00:46,2022-11-30 16:00:47,"1,078s",PASSED
,,,,,,,
Test Cases/API_TEST1/TEST_ESTUDIANTES,,,,2022-11-30 16:00:49,2022-11-30 16:01:18,"29,507s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/Get_user""))",,,,2022-11-30 16:01:14,2022-11-30 16:01:18,"4,705s",PASSED
print(Response.getResponseText()),,,,2022-11-30 16:01:18,2022-11-30 16:01:18,"0,006s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 16:01:18,2022-11-30 16:01:18,"0,006s",PASSED
,,,,,,,
Test Cases/API_TEST1/Test_Estudiante_id,,,,2022-11-30 16:01:19,2022-11-30 16:02:03,"44,408s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/StudentID""))",,,,2022-11-30 16:01:41,2022-11-30 16:01:57,"15,882s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 16:01:57,2022-11-30 16:01:57,"0,008s",PASSED
print(Response.getResponseText()),,,,2022-11-30 16:01:57,2022-11-30 16:01:57,"0,004s",PASSED
"verifyElementPropertyValue(Response, ""data.last_name"", ""Wong"")",,,,2022-11-30 16:01:57,2022-11-30 16:02:02,"4,605s",PASSED
"verifyElementPropertyValue(Response, ""support.text"", ""To keep ReqRes free, contributions towards server costs are appreciated!"")",,,,2022-11-30 16:02:02,2022-11-30 16:02:03,"1,034s",PASSED
,,,,,,,
Test Cases/API_TEST1/UpdateUser,,,,2022-11-30 16:02:03,2022-11-30 16:02:39,"36,389s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/UpdateUser"", [""id"":1]))",,,,2022-11-30 16:02:28,2022-11-30 16:02:39,"10,853s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 16:02:39,2022-11-30 16:02:39,"0,011s",PASSED
,,,,,,,
Test Cases/API_TEST2/AddUser,,,,2022-11-30 16:02:39,2022-11-30 16:03:05,"25,565s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/AddUser""))",,,,2022-11-30 16:02:59,2022-11-30 16:03:05,"6,202s",PASSED
print(Response.getResponseText()),,,,2022-11-30 16:03:05,2022-11-30 16:03:05,"0,002s",PASSED
"verifyResponseStatusCode(Response, 201)",,,,2022-11-30 16:03:05,2022-11-30 16:03:05,"0,009s",PASSED
,,,,,,,
Test Cases/API_TEST2/AddUserDinamic,,,,2022-11-30 16:03:05,2022-11-30 16:03:25,"19,755s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/AddUserDinamic"", [""Nom"":""Efrain"", ""Dep"":""Informatica""]))",,,,2022-11-30 16:03:19,2022-11-30 16:03:25,"5,525s",PASSED
print(Response.getResponseText()),,,,2022-11-30 16:03:25,2022-11-30 16:03:25,"0,000s",PASSED
,,,,,,,
Test Cases/API_TEST2/API_USUARIOS,,,,2022-11-30 16:03:25,2022-11-30 16:03:36,"11,679s",PASSED
