Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integracion_2,Chrome 92.0.4515.131,,,2021-08-16 12:39:12,2021-08-16 12:39:30,17.771s,PASSED
,,,,,,,
Test Cases/BUCLES/Reto_while,Chrome 92.0.4515.131,,,2021-08-16 12:39:12,2021-08-16 12:39:29,17.343s,PASSED
"openBrowser("""")",Chrome 92.0.4515.131,,,2021-08-16 12:39:12,2021-08-16 12:39:14,2.011s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 92.0.4515.131,,,2021-08-16 12:39:14,2021-08-16 12:39:15,0.775s,PASSED
Bandera = 0,Chrome 92.0.4515.131,,,2021-08-16 12:39:15,2021-08-16 12:39:15,0.001s,PASSED
while (Bandera != 1),Chrome 92.0.4515.131,,,2021-08-16 12:39:15,2021-08-16 12:39:29,14.361s,PASSED
,,,,,,,
Test Cases/Condicionales_If/Test_1,Chrome 92.0.4515.131,,,2021-08-16 12:39:29,2021-08-16 12:39:30,0.132s,PASSED
if (num == 10),Chrome 92.0.4515.131,,,2021-08-16 12:39:30,2021-08-16 12:39:30,0.000s,PASSED
else,Chrome 92.0.4515.131,,,2021-08-16 12:39:30,2021-08-16 12:39:30,0.001s,PASSED
,,,,,,,
Test Cases/Condicionales_If/Test_2,Chrome 92.0.4515.131,,,2021-08-16 12:39:30,2021-08-16 12:39:30,0.130s,PASSED
if (num == 5),Chrome 92.0.4515.131,,,2021-08-16 12:39:30,2021-08-16 12:39:30,0.000s,PASSED
if (num == 10),Chrome 92.0.4515.131,,,2021-08-16 12:39:30,2021-08-16 12:39:30,0.001s,PASSED
