Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
apitest,,,,2022-11-30 14:57:40,2022-11-30 14:58:10,"29,786s",PASSED
,,,,,,,
Test Cases/API_TEST1/AddUser,,,,2022-11-30 14:57:41,2022-11-30 14:57:47,"6,181s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/AddUser""))",,,,2022-11-30 14:57:42,2022-11-30 14:57:47,"5,259s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 14:57:47,2022-11-30 14:57:47,"0,042s",PASSED
print(Response.getResponseText()),,,,2022-11-30 14:57:47,2022-11-30 14:57:47,"0,024s",PASSED
,,,,,,,
Test Cases/API_TEST1/TEST_ESTUDIANTES,,,,2022-11-30 14:57:47,2022-11-30 14:57:49,"2,050s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/Get_user""))",,,,2022-11-30 14:57:48,2022-11-30 14:57:49,"1,351s",PASSED
print(Response.getResponseText()),,,,2022-11-30 14:57:49,2022-11-30 14:57:49,"0,002s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 14:57:49,2022-11-30 14:57:49,"0,011s",PASSED
,,,,,,,
Test Cases/API_TEST1/Test_Estudiante_id,,,,2022-11-30 14:57:49,2022-11-30 14:57:51,"1,648s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/StudentID""))",,,,2022-11-30 14:57:50,2022-11-30 14:57:51,"0,602s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 14:57:51,2022-11-30 14:57:51,"0,006s",PASSED
print(Response.getResponseText()),,,,2022-11-30 14:57:51,2022-11-30 14:57:51,"0,002s",PASSED
"verifyElementPropertyValue(Response, ""data.last_name"", ""Wong"")",,,,2022-11-30 14:57:51,2022-11-30 14:57:51,"0,110s",PASSED
"verifyElementPropertyValue(Response, ""support.text"", ""To keep ReqRes free, contributions towards server costs are appreciated!"")",,,,2022-11-30 14:57:51,2022-11-30 14:57:51,"0,033s",PASSED
,,,,,,,
Test Cases/API_TEST1/UpdateUser,,,,2022-11-30 14:57:51,2022-11-30 14:57:53,"1,731s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/UpdateUser"", [""id"":1]))",,,,2022-11-30 14:57:52,2022-11-30 14:57:53,"0,893s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 14:57:53,2022-11-30 14:57:53,"0,005s",PASSED
,,,,,,,
Test Cases/API_TEST2/AddUser,,,,2022-11-30 14:57:53,2022-11-30 14:57:55,"2,246s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/AddUser""))",,,,2022-11-30 14:57:54,2022-11-30 14:57:55,"1,514s",PASSED
print(Response.getResponseText()),,,,2022-11-30 14:57:55,2022-11-30 14:57:55,"0,002s",PASSED
"verifyResponseStatusCode(Response, 201)",,,,2022-11-30 14:57:55,2022-11-30 14:57:55,"0,006s",PASSED
,,,,,,,
