Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
apitest,,,,2022-11-30 15:53:48,2022-11-30 15:59:15,"5m - 26,736s",PASSED
,,,,,,,
Test Cases/API_TEST1/AddUser,,,,2022-11-30 15:53:51,2022-11-30 15:54:58,"1m - 6,473s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/AddUser""))",,,,2022-11-30 15:54:01,2022-11-30 15:54:57,"55,084s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:54:57,2022-11-30 15:54:58,"1,329s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:54:58,2022-11-30 15:54:58,"0,061s",PASSED
,,,,,,,
Test Cases/API_TEST1/TEST_ESTUDIANTES,,,,2022-11-30 15:54:58,2022-11-30 15:55:11,"13,097s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/Get_user""))",,,,2022-11-30 15:55:08,2022-11-30 15:55:11,"3,529s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:55:11,2022-11-30 15:55:11,"0,001s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:55:11,2022-11-30 15:55:11,"0,013s",PASSED
,,,,,,,
Test Cases/API_TEST1/Test_Estudiante_id,,,,2022-11-30 15:55:11,2022-11-30 15:55:27,"15,465s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/StudentID""))",,,,2022-11-30 15:55:23,2022-11-30 15:55:26,"2,815s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:55:26,2022-11-30 15:55:26,"0,020s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:55:26,2022-11-30 15:55:26,"0,001s",PASSED
"verifyElementPropertyValue(Response, ""data.last_name"", ""Wong"")",,,,2022-11-30 15:55:26,2022-11-30 15:55:26,"0,724s",PASSED
"verifyElementPropertyValue(Response, ""support.text"", ""To keep ReqRes free, contributions towards server costs are appreciated!"")",,,,2022-11-30 15:55:26,2022-11-30 15:55:27,"0,317s",PASSED
,,,,,,,
Test Cases/API_TEST1/UpdateUser,,,,2022-11-30 15:55:27,2022-11-30 15:55:47,"20,647s",PASSED
