Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integracion_2,IE 11,,,2022-11-23 21:03:24,2022-11-23 21:08:48,"5m - 24,303s",FAILED
,,,,,,,
Test Cases/BUCLES/Reto_while,IE 11,,,2022-11-23 21:03:24,2022-11-23 21:08:40,"5m - 16,332s",FAILED
"openBrowser("""")",IE 11,,,2022-11-23 21:03:25,2022-11-23 21:03:30,"4,960s",PASSED
"navigateToUrl(""https://www.google.com/"")",IE 11,,,2022-11-23 21:03:30,2022-11-23 21:08:40,"5m - 10,587s",FAILED
,,,,,,,
Test Cases/Condicionales_If/Test_1,IE 11,,,2022-11-23 21:08:40,2022-11-23 21:08:41,"0,761s",PASSED
if (num == 10),IE 11,,,2022-11-23 21:08:41,2022-11-23 21:08:41,"0,002s",PASSED
else,IE 11,,,2022-11-23 21:08:41,2022-11-23 21:08:41,"0,006s",PASSED
,,,,,,,
Test Cases/Condicionales_If/Test_2,IE 11,,,2022-11-23 21:08:41,2022-11-23 21:08:42,"0,597s",PASSED
if (num == 5),IE 11,,,2022-11-23 21:08:42,2022-11-23 21:08:42,"0,001s",PASSED
if (num == 10),IE 11,,,2022-11-23 21:08:42,2022-11-23 21:08:42,"0,004s",PASSED
,,,,,,,
Test Cases/Condicionales_If/Test_3,IE 11,,,2022-11-23 21:08:42,2022-11-23 21:08:42,"0,514s",PASSED
"if (nombre == ""Juan"")",IE 11,,,2022-11-23 21:08:42,2022-11-23 21:08:42,"0,000s",PASSED
"if (nombre == ""JUan"")",IE 11,,,2022-11-23 21:08:42,2022-11-23 21:08:42,"0,000s",PASSED
"if (nombre == ""juan"")",IE 11,,,2022-11-23 21:08:42,2022-11-23 21:08:42,"0,003s",PASSED
,,,,,,,
Test Cases/Condicionales_If/Test_4,IE 11,,,2022-11-23 21:08:42,2022-11-23 21:08:43,"0,497s",PASSED
if (num <= 7),IE 11,,,2022-11-23 21:08:43,2022-11-23 21:08:43,"0,004s",PASSED
if (num >= 8),IE 11,,,2022-11-23 21:08:43,2022-11-23 21:08:43,"0,001s",PASSED
if (num != 5),IE 11,,,2022-11-23 21:08:43,2022-11-23 21:08:43,"0,000s",PASSED
,,,,,,,
Test Cases/Condicionales_If/Test_2,IE 11,,,2022-11-23 21:08:43,2022-11-23 21:08:43,"0,034s",PASSED
if (num == 5),IE 11,,,2022-11-23 21:08:43,2022-11-23 21:08:43,"0,001s",PASSED
if (num == 10),IE 11,,,2022-11-23 21:08:43,2022-11-23 21:08:43,"0,002s",PASSED
,,,,,,,
Test Cases/Condicionales_If/Test_1,IE 11,,,2022-11-23 21:08:43,2022-11-23 21:08:43,"0,031s",PASSED
if (num == 10),IE 11,,,2022-11-23 21:08:43,2022-11-23 21:08:43,"0,001s",PASSED
else,IE 11,,,2022-11-23 21:08:43,2022-11-23 21:08:43,"0,002s",PASSED
,,,,,,,
Test Cases/Google/google,IE 11,,,2022-11-23 21:08:43,2022-11-23 21:08:48,"5,019s",FAILED
"openBrowser("""")",IE 11,,,2022-11-23 21:08:43,2022-11-23 21:08:48,"4,573s",FAILED
