Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
apitest,,,,2022-11-30 15:54:26,2022-11-30 16:01:18,"6m - 51,701s",PASSED
,,,,,,,
Test Cases/API_TEST1/AddUser,,,,2022-11-30 15:54:31,2022-11-30 15:56:13,"1m - 42,208s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/AddUser""))",,,,2022-11-30 15:54:42,2022-11-30 15:56:11,"1m - 28,887s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:56:11,2022-11-30 15:56:12,"1,253s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:56:12,2022-11-30 15:56:13,"0,899s",PASSED
,,,,,,,
Test Cases/API_TEST1/TEST_ESTUDIANTES,,,,2022-11-30 15:56:13,2022-11-30 15:56:44,"30,583s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/Get_user""))",,,,2022-11-30 15:56:36,2022-11-30 15:56:43,"7,711s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:56:43,2022-11-30 15:56:43,"0,028s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:56:43,2022-11-30 15:56:44,"0,039s",PASSED
,,,,,,,
Test Cases/API_TEST1/Test_Estudiante_id,,,,2022-11-30 15:56:44,2022-11-30 15:57:18,"34,092s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/StudentID""))",,,,2022-11-30 15:57:11,2022-11-30 15:57:16,"4,600s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:57:16,2022-11-30 15:57:16,"0,007s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:57:16,2022-11-30 15:57:16,"0,002s",PASSED
"verifyElementPropertyValue(Response, ""data.last_name"", ""Wong"")",,,,2022-11-30 15:57:16,2022-11-30 15:57:17,"1,502s",PASSED
"verifyElementPropertyValue(Response, ""support.text"", ""To keep ReqRes free, contributions towards server costs are appreciated!"")",,,,2022-11-30 15:57:17,2022-11-30 15:57:18,"0,551s",PASSED
