Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
apitest,,,,2022-11-30 15:53:22,2022-11-30 15:57:34,"4m - 12,438s",PASSED
,,,,,,,
Test Cases/API_TEST1/AddUser,,,,2022-11-30 15:53:24,2022-11-30 15:54:14,"50,306s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/AddUser""))",,,,2022-11-30 15:53:29,2022-11-30 15:54:14,"44,999s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:54:14,2022-11-30 15:54:14,"0,101s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:54:14,2022-11-30 15:54:14,"0,064s",PASSED
,,,,,,,
Test Cases/API_TEST1/TEST_ESTUDIANTES,,,,2022-11-30 15:54:14,2022-11-30 15:54:23,"8,588s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/Get_user""))",,,,2022-11-30 15:54:20,2022-11-30 15:54:23,"2,566s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:54:23,2022-11-30 15:54:23,"0,007s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:54:23,2022-11-30 15:54:23,"0,008s",PASSED
,,,,,,,
Test Cases/API_TEST1/Test_Estudiante_id,,,,2022-11-30 15:54:23,2022-11-30 15:54:34,"10,694s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/StudentID""))",,,,2022-11-30 15:54:30,2022-11-30 15:54:32,"2,329s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:54:32,2022-11-30 15:54:32,"0,005s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:54:32,2022-11-30 15:54:32,"0,004s",PASSED
"verifyElementPropertyValue(Response, ""data.last_name"", ""Wong"")",,,,2022-11-30 15:54:32,2022-11-30 15:54:34,"1,226s",PASSED
"verifyElementPropertyValue(Response, ""support.text"", ""To keep ReqRes free, contributions towards server costs are appreciated!"")",,,,2022-11-30 15:54:34,2022-11-30 15:54:34,"0,119s",PASSED
,,,,,,,
Test Cases/API_TEST1/UpdateUser,,,,2022-11-30 15:54:34,2022-11-30 15:54:47,"12,421s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/UpdateUser"", [""id"":1]))",,,,2022-11-30 15:54:40,2022-11-30 15:54:47,"6,702s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:54:47,2022-11-30 15:54:47,"0,011s",PASSED
,,,,,,,
Test Cases/API_TEST2/AddUser,,,,2022-11-30 15:54:47,2022-11-30 15:55:03,"16,611s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/AddUser""))",,,,2022-11-30 15:54:59,2022-11-30 15:55:03,"4,341s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:55:03,2022-11-30 15:55:03,"0,003s",PASSED
"verifyResponseStatusCode(Response, 201)",,,,2022-11-30 15:55:03,2022-11-30 15:55:03,"0,006s",PASSED
,,,,,,,
Test Cases/API_TEST2/AddUserDinamic,,,,2022-11-30 15:55:03,2022-11-30 15:55:20,"17,002s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/AddUserDinamic"", [""Nom"":""Efrain"", ""Dep"":""Informatica""]))",,,,2022-11-30 15:55:12,2022-11-30 15:55:20,"7,743s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:55:20,2022-11-30 15:55:20,"0,000s",PASSED
,,,,,,,
Test Cases/API_TEST2/API_USUARIOS,,,,2022-11-30 15:55:20,2022-11-30 15:55:33,"12,709s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/Get_Usuarios""))",,,,2022-11-30 15:55:30,2022-11-30 15:55:33,"2,638s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:55:33,2022-11-30 15:55:33,"0,002s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:55:33,2022-11-30 15:55:33,"0,081s",PASSED
,,,,,,,
Test Cases/API_TEST2/DeleteUser,,,,2022-11-30 15:55:33,2022-11-30 15:55:53,"20,224s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/Delete_user"", [""id"":7]))",,,,2022-11-30 15:55:46,2022-11-30 15:55:53,"7,552s",PASSED
,,,,,,,
Test Cases/API_TEST2/Student_ID_Dinamic,,,,2022-11-30 15:55:53,2022-11-30 15:56:28,"35,097s",PASSED
