Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
apitest,,,,2022-11-30 15:52:58,2022-11-30 15:55:30,"2m - 31,768s",PASSED
,,,,,,,
Test Cases/API_TEST1/AddUser,,,,2022-11-30 15:53:00,2022-11-30 15:53:37,"37,074s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/AddUser""))",,,,2022-11-30 15:53:06,2022-11-30 15:53:37,"31,707s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:53:37,2022-11-30 15:53:37,"0,034s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:53:37,2022-11-30 15:53:37,"0,038s",PASSED
,,,,,,,
Test Cases/API_TEST1/TEST_ESTUDIANTES,,,,2022-11-30 15:53:37,2022-11-30 15:53:42,"4,446s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/Get_user""))",,,,2022-11-30 15:53:41,2022-11-30 15:53:42,"1,233s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:53:42,2022-11-30 15:53:42,"0,007s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:53:42,2022-11-30 15:53:42,"0,006s",PASSED
,,,,,,,
Test Cases/API_TEST1/Test_Estudiante_id,,,,2022-11-30 15:53:42,2022-11-30 15:53:47,"5,286s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/StudentID""))",,,,2022-11-30 15:53:44,2022-11-30 15:53:46,"1,848s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:53:46,2022-11-30 15:53:46,"0,005s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:53:46,2022-11-30 15:53:46,"0,026s",PASSED
"verifyElementPropertyValue(Response, ""data.last_name"", ""Wong"")",,,,2022-11-30 15:53:46,2022-11-30 15:53:47,"0,857s",PASSED
"verifyElementPropertyValue(Response, ""support.text"", ""To keep ReqRes free, contributions towards server costs are appreciated!"")",,,,2022-11-30 15:53:47,2022-11-30 15:53:47,"0,204s",PASSED
,,,,,,,
Test Cases/API_TEST1/UpdateUser,,,,2022-11-30 15:53:47,2022-11-30 15:53:54,"7,139s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/UpdateUser"", [""id"":1]))",,,,2022-11-30 15:53:51,2022-11-30 15:53:54,"3,395s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:53:54,2022-11-30 15:53:54,"0,012s",PASSED
,,,,,,,
Test Cases/API_TEST2/AddUser,,,,2022-11-30 15:53:54,2022-11-30 15:54:10,"15,869s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/AddUser""))",,,,2022-11-30 15:54:05,2022-11-30 15:54:10,"5,670s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:54:10,2022-11-30 15:54:10,"0,001s",PASSED
"verifyResponseStatusCode(Response, 201)",,,,2022-11-30 15:54:10,2022-11-30 15:54:10,"0,004s",PASSED
,,,,,,,
Test Cases/API_TEST2/AddUserDinamic,,,,2022-11-30 15:54:10,2022-11-30 15:54:22,"11,815s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/AddUserDinamic"", [""Nom"":""Efrain"", ""Dep"":""Informatica""]))",,,,2022-11-30 15:54:16,2022-11-30 15:54:22,"6,299s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:54:22,2022-11-30 15:54:22,"0,000s",PASSED
,,,,,,,
Test Cases/API_TEST2/API_USUARIOS,,,,2022-11-30 15:54:22,2022-11-30 15:54:33,"10,530s",PASSED
"Response = sendRequest(findTestObject(""API_TEST2/Get_Usuarios""))",,,,2022-11-30 15:54:30,2022-11-30 15:54:33,"2,777s",PASSED
print(Response.getResponseText()),,,,2022-11-30 15:54:33,2022-11-30 15:54:33,"0,001s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 15:54:33,2022-11-30 15:54:33,"0,005s",PASSED
,,,,,,,
Test Cases/API_TEST2/DeleteUser,,,,2022-11-30 15:54:33,2022-11-30 15:54:47,"14,401s",PASSED
