Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testCLoud,Windows - Chrome 103.0.5060.53,,,2022-11-28 17:17:55,2022-11-28 18:33:36,"1h - 15m - 40,995s",FAILED
,,,,,,,
Test Cases/Mouse_over/Mouse_over,Windows - Chrome 103.0.5060.53,,,2022-11-28 17:21:40,2022-11-28 17:23:05,"1m - 24,934s",FAILED
"openBrowser("""")",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:21:40,2022-11-28 17:22:46,"1m - 5,278s",PASSED
"navigateToUrl(""http://automationpractice.com/index.php"")",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:22:46,2022-11-28 17:22:48,"2,138s",PASSED
waitForPageLoad(40),Windows - Chrome 103.0.5060.53,,,2022-11-28 17:22:48,2022-11-28 17:22:49,"0,872s",PASSED
maximizeWindow(),Windows - Chrome 103.0.5060.53,,,2022-11-28 17:22:49,2022-11-28 17:22:49,"0,712s",PASSED
"mouseOver(findTestObject(""Mouse_over/Woman""))",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:22:49,2022-11-28 17:23:05,"15,911s",FAILED
,,,,,,,
Test Cases/Mouse_over/Mouse_over2,Windows - Chrome 103.0.5060.53,,,2022-11-28 17:27:37,2022-11-28 17:29:00,"1m - 23,853s",FAILED
"openBrowser("""")",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:27:37,2022-11-28 17:28:38,"1m - 0,904s",PASSED
"navigateToUrl(""http://automationpractice.com/index.php"")",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:28:38,2022-11-28 17:28:41,"3,040s",PASSED
waitForPageLoad(40),Windows - Chrome 103.0.5060.53,,,2022-11-28 17:28:41,2022-11-28 17:28:42,"1,048s",PASSED
maximizeWindow(),Windows - Chrome 103.0.5060.53,,,2022-11-28 17:28:42,2022-11-28 17:28:43,"1,681s",PASSED
"mouseOver(findTestObject(""Mouse_over/Woman""))",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:28:43,2022-11-28 17:29:00,"17,147s",FAILED
,,,,,,,
Test Cases/Navegador/Navegador,Windows - Chrome 103.0.5060.53,,,2022-11-28 17:29:00,2022-11-28 17:30:06,"1m - 5,697s",PASSED
"openBrowser(""https://demoqa.com/text-box"")",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:29:01,2022-11-28 17:30:01,"59,523s",PASSED
maximizeWindow(),Windows - Chrome 103.0.5060.53,,,2022-11-28 17:30:01,2022-11-28 17:30:02,"1,149s",PASSED
page_url = getUrl(),Windows - Chrome 103.0.5060.53,,,2022-11-28 17:30:02,2022-11-28 17:30:03,"1,293s",PASSED
print(page_url),Windows - Chrome 103.0.5060.53,,,2022-11-28 17:30:03,2022-11-28 17:30:03,"0,020s",PASSED
Titulo = getWindowTitle(),Windows - Chrome 103.0.5060.53,,,2022-11-28 17:30:03,2022-11-28 17:30:04,"0,797s",PASSED
"print(""titiulo de la pagina"" + Titulo)",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:30:04,2022-11-28 17:30:04,"0,003s",PASSED
closeBrowser(),Windows - Chrome 103.0.5060.53,,,2022-11-28 17:30:04,2022-11-28 17:30:06,"2,081s",PASSED
,,,,,,,
Test Cases/Objecto_xpath/Caso_xpath,Windows - Chrome 103.0.5060.53,,,2022-11-28 17:30:06,2022-11-28 17:31:14,"1m - 7,569s",PASSED
"openBrowser("""")",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:30:07,2022-11-28 17:30:53,"46,666s",PASSED
"navigateToUrl(""https://demoqa.com/text-box"")",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:30:53,2022-11-28 17:30:58,"4,227s",PASSED
maximizeWindow(),Windows - Chrome 103.0.5060.53,,,2022-11-28 17:30:58,2022-11-28 17:30:59,"0,920s",PASSED
"setText(findTestObject(""Objeto_xpath/Campo_nombre""), ""Ljubo"")",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:30:59,2022-11-28 17:31:08,"9,603s",PASSED
delay(3),Windows - Chrome 103.0.5060.53,,,2022-11-28 17:31:08,2022-11-28 17:31:11,"3,036s",PASSED
closeBrowser(),Windows - Chrome 103.0.5060.53,,,2022-11-28 17:31:11,2022-11-28 17:31:14,"2,558s",PASSED
,,,,,,,
Test Cases/Validar_calculo/Validar_calculo,Windows - Chrome 103.0.5060.53,,,2022-11-28 17:38:19,2022-11-28 17:40:32,"2m - 13,028s",FAILED
"openBrowser("""")",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:38:19,2022-11-28 17:39:23,"1m - 4,779s",PASSED
"navigateToUrl(""https://www.seleniumeasy.com/test/basic-first-form-demo.html"")",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:39:23,2022-11-28 17:39:28,"4,507s",PASSED
maximizeWindow(),Windows - Chrome 103.0.5060.53,,,2022-11-28 17:39:28,2022-11-28 17:39:30,"1,854s",PASSED
"waitForElementClickable(findTestObject(""Validar_campo/Page_Selenium Easy Demo - Simple Form to Au_3f5468/a_No, thanks""), 3)",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:39:30,2022-11-28 17:39:45,"15,510s",PASSED
"click(findTestObject(""Object Repository/Validar_campo/Page_Selenium Easy Demo - Simple Form to Au_3f5468/a_No, thanks""))",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:39:45,2022-11-28 17:40:02,"16,770s",PASSED
"setText(findTestObject(""Object Repository/Validar_campo/Page_Selenium Easy Demo - Simple Form to Au_3f5468/input_Enter a_sum1""), ""5"")",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:40:02,2022-11-28 17:40:32,"29,597s",FAILED
,,,,,,,
Test Cases/Condicionales_If/Condicionar_titulo,Windows - Chrome 103.0.5060.53,,,2022-11-28 17:40:32,2022-11-28 17:41:48,"1m - 15,819s",PASSED
"openBrowser("""")",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:40:32,2022-11-28 17:41:22,"49,273s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Windows - Chrome 103.0.5060.53,,,2022-11-28 17:41:22,2022-11-28 17:41:25,"3,767s",PASSED
