Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
apitest,,,,2022-11-30 09:15:52,2022-11-30 09:16:15,"22,698s",PASSED
,,,,,,,
Test Cases/API_TEST1/AddUser,,,,2022-11-30 09:15:52,2022-11-30 09:15:58,"5,427s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/AddUser""))",,,,2022-11-30 09:15:53,2022-11-30 09:15:58,"4,708s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 09:15:58,2022-11-30 09:15:58,"0,032s",PASSED
print(Response.getResponseText()),,,,2022-11-30 09:15:58,2022-11-30 09:15:58,"0,019s",PASSED
,,,,,,,
Test Cases/API_TEST1/TEST_ESTUDIANTES,,,,2022-11-30 09:15:58,2022-11-30 09:15:59,"0,813s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/Get_user""))",,,,2022-11-30 09:15:58,2022-11-30 09:15:59,"0,316s",PASSED
print(Response.getResponseText()),,,,2022-11-30 09:15:59,2022-11-30 09:15:59,"0,001s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 09:15:59,2022-11-30 09:15:59,"0,004s",PASSED
,,,,,,,
Test Cases/API_TEST1/Test_Estudiante_id,,,,2022-11-30 09:15:59,2022-11-30 09:16:00,"1,763s",PASSED
"Response = sendRequest(findTestObject(""API_TEST1/StudentID""))",,,,2022-11-30 09:15:59,2022-11-30 09:16:00,"1,023s",PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-11-30 09:16:00,2022-11-30 09:16:00,"0,016s",PASSED
print(Response.getResponseText()),,,,2022-11-30 09:16:00,2022-11-30 09:16:00,"0,000s",PASSED
"verifyElementPropertyValue(Response, ""data.last_name"", ""Wong"")",,,,2022-11-30 09:16:00,2022-11-30 09:16:00,"0,083s",PASSED
"verifyElementPropertyValue(Response, ""support.text"", ""To keep ReqRes free, contributions towards server costs are appreciated!"")",,,,2022-11-30 09:16:00,2022-11-30 09:16:00,"0,032s",PASSED
,,,,,,,
Test Cases/API_TEST1/UpdateUser,,,,2022-11-30 09:16:00,2022-11-30 09:16:02,"1,378s",PASSED
